/*
 Cornu spiral.
 C(NU) is the x-axis.
 S(NU) is the y-axis.
 DELTA(NU)=0.01
*/
-5.430986E-01 -5.008729E-01
-5.422360E-01 -4.910750E-01
-5.391779E-01 -4.817261E-01
-5.340855E-01 -4.733100E-01
-5.272243E-01 -4.662602E-01
-5.189500E-01 -4.609384E-01
-5.096896E-01 -4.576157E-01
-4.999187E-01 -4.564600E-01
-4.901373E-01 -4.575275E-01
-4.808437E-01 -4.607611E-01
-4.725096E-01 -4.659937E-01
-4.655561E-01 -4.729577E-01
-4.603329E-01 -4.812990E-01
-4.571010E-01 -4.905954E-01
-4.560202E-01 -5.003787E-01
-4.571421E-01 -5.101578E-01
-4.604079E-01 -5.194442E-01
-4.656518E-01 -5.277755E-01
-4.726111E-01 -5.347391E-01
-4.809384E-01 -5.399916E-01
-4.902206E-01 -5.432755E-01
-4.999990E-01 -5.444316E-01
-5.097926E-01 -5.434058E-01
-5.191216E-01 -5.402508E-01
-5.275301E-01 -5.351240E-01
-5.346099E-01 -5.282776E-01
-5.400187E-01 -5.200464E-01
-5.434966E-01 -5.108310E-01
-5.448781E-01 -5.010780E-01
-5.440993E-01 -4.912579E-01
-5.412004E-01 -4.818426E-01
-5.363230E-01 -4.732826E-01
-5.297027E-01 -4.659857E-01
-5.216571E-01 -4.602978E-01
-5.125702E-01 -4.564870E-01
-5.028736E-01 -4.547312E-01
-4.930262E-01 -4.551108E-01
-4.834917E-01 -4.576051E-01
-4.747175E-01 -4.620942E-01
-4.671133E-01 -4.683653E-01
-4.610326E-01 -4.761232E-01
-4.567565E-01 -4.850050E-01
-4.544811E-01 -4.945970E-01
-4.543089E-01 -5.044541E-01
-4.562453E-01 -5.141214E-01
-4.601982E-01 -5.231541E-01
-4.659837E-01 -5.311387E-01
-4.733348E-01 -5.377114E-01
-4.819139E-01 -5.425743E-01
-4.913298E-01 -5.455086E-01
-5.011536E-01 -5.463834E-01
-5.109408E-01 -5.451623E-01
-5.202506E-01 -5.419029E-01
-5.286649E-01 -5.367547E-01
-5.358079E-01 -5.299507E-01
-5.413622E-01 -5.217974E-01
-5.450823E-01 -5.126596E-01
-5.468057E-01 -5.029446E-01
-5.464586E-01 -4.930836E-01
-5.440592E-01 -4.835120E-01
-5.397158E-01 -4.746509E-01
-5.336217E-01 -4.668883E-01
-5.260462E-01 -4.605624E-01
-5.173215E-01 -4.559473E-01
-5.078291E-01 -4.532414E-01
-4.979814E-01 -4.525595E-01
-4.882050E-01 -4.539283E-01
-4.789212E-01 -4.572860E-01
-4.705284E-01 -4.624855E-01
-4.633849E-01 -4.693015E-01
-4.577944E-01 -4.774406E-01
-4.539928E-01 -4.865541E-01
-4.521391E-01 -4.962538E-01
-4.523090E-01 -5.061282E-01
-4.544929E-01 -5.157607E-01
-4.585957E-01 -5.247452E-01
-4.644426E-01 -5.327064E-01
-4.717869E-01 -5.393125E-01
-4.803200E-01 -5.442900E-01
-4.896857E-01 -5.474343E-01
-4.994945E-01 -5.486175E-01
-5.093406E-01 -5.477936E-01
-5.188184E-01 -5.449994E-01
-5.275393E-01 -5.403522E-01
-5.351471E-01 -5.340450E-01
-5.413331E-01 -5.263374E-01
-5.458475E-01 -5.175452E-01
-5.485096E-01 -5.080264E-01
-5.492144E-01 -4.981668E-01
-5.479363E-01 -4.883645E-01
-5.447294E-01 -4.790132E-01
-5.397249E-01 -4.704869E-01
-5.331253E-01 -4.631249E-01
-5.251956E-01 -4.572185E-01
-5.162522E-01 -4.530002E-01
-5.066505E-01 -4.506343E-01
-4.967701E-01 -4.502115E-01
-4.869997E-01 -4.517457E-01
-4.777221E-01 -4.551738E-01
-4.692990E-01 -4.603593E-01
-4.620569E-01 -4.670981E-01
-4.562758E-01 -4.751256E-01
-4.521770E-01 -4.841297E-01
-4.499162E-01 -4.937616E-01
-4.495775E-01 -5.036501E-01
-4.511711E-01 -5.134159E-01
-4.546335E-01 -5.226860E-01
-4.598299E-01 -5.311081E-01
-4.665606E-01 -5.383636E-01
-4.745687E-01 -5.441799E-01
-4.835502E-01 -5.483397E-01
-4.931660E-01 -5.506888E-01
-5.030549E-01 -5.511421E-01
-5.128469E-01 -5.496854E-01
-5.221778E-01 -5.463756E-01
-5.307018E-01 -5.413384E-01
-5.381049E-01 -5.347629E-01
-5.441156E-01 -5.268934E-01
-5.485152E-01 -5.180215E-01
-5.511449E-01 -5.084735E-01
-5.519113E-01 -4.985989E-01
-5.507892E-01 -4.887579E-01
-5.478224E-01 -4.793072E-01
-5.431207E-01 -4.705880E-01
-5.368562E-01 -4.629135E-01
-5.292559E-01 -4.565574E-01
-5.205947E-01 -4.517459E-01
-5.111828E-01 -4.486481E-01
-5.013561E-01 -4.473715E-01
-4.914637E-01 -4.479587E-01
-4.818551E-01 -4.503860E-01
-4.728682E-01 -4.545652E-01
-4.648175E-01 -4.603469E-01
-4.579831E-01 -4.675265E-01
-4.526015E-01 -4.758514E-01
-4.488574E-01 -4.850309E-01
-4.468780E-01 -4.947455E-01
-4.467288E-01 -5.046593E-01
-4.484121E-01 -5.144309E-01
-4.518675E-01 -5.237256E-01
-4.569742E-01 -5.322264E-01
-4.635556E-01 -5.396454E-01
-4.713862E-01 -5.457323E-01
-4.801993E-01 -5.502833E-01
-4.896961E-01 -5.531474E-01
-4.995568E-01 -5.542312E-01
-5.094506E-01 -5.535010E-01
-5.190473E-01 -5.509841E-01
-5.280284E-01 -5.467669E-01
-5.360973E-01 -5.409919E-01
-5.429891E-01 -5.338522E-01
-5.484788E-01 -5.255845E-01
-5.523884E-01 -5.164624E-01
-5.545927E-01 -5.067851E-01
-5.550227E-01 -4.968686E-01
-5.536672E-01 -4.870350E-01
